Wavelength [nm],Intensity [a.u.]
883.6073420992302,998.0
883.7548490458832,1002.0
883.9023302051105,1006.0
884.0497855204385,1002.0
884.1972149353933,1013.0
884.3446183935013,1006.0
884.4919958382889,1009.0
884.6393472132821,1013.0
884.7866724620076,992.0
884.9339715279914,987.0
885.08124435476,979.0
885.2284908858396,1002.0
885.3757110647566,1017.0
885.5229048350373,1009.0
885.6700721402078,1002.0
885.8172129237946,998.0
885.9643271293239,1013.0
886.1114147003221,998.0
886.2584755803155,1009.0
886.4055097128304,998.0
886.552517041393,1006.0
886.6994975095297,987.0
886.8464510607669,998.0
886.9933776386306,1002.0
887.1402771866474,983.0
887.2871496483434,994.0
887.4339949672451,994.0
887.5808130868787,1013.0
887.7276039507706,1009.0
887.874367502447,994.0
888.0211036854341,1002.0
888.1678124432584,1002.0
888.3144937194461,994.0
888.4611474575236,990.0
888.607773601017,990.0
888.754372093453,998.0
888.9009428783575,998.0
889.0474858992569,990.0
889.1940010996777,1013.0
889.340488423146,998.0
889.4869478131882,1002.0
889.6333792133305,1002.0
889.7797825670993,994.0
889.926157818021,998.0
890.0725049096218,990.0
890.218823785428,1006.0
890.3651143889658,1002.0
890.5113766637617,1017.0
890.6576105533418,1017.0
890.8038160012326,994.0
890.9499929509602,990.0
891.0961413460512,1002.0
891.2422611300317,1006.0
891.388352246428,983.0
891.5344146387665,998.0
891.6804482505734,998.0
891.826453025375,1013.0
891.9724289066977,998.0
892.1183758380678,990.0
892.2642937630116,1002.0
892.4101826250553,994.0
892.5560423677254,998.0
892.701872934548,994.0
892.8476742690494,1002.0
892.993446314756,1002.0
893.1391890151942,1006.0
893.2849023138901,1002.0
893.4305861543703,983.0
893.5762404801608,998.0
893.721865234788,994.0
893.8674603617783,994.0
894.0130258046578,1002.0
894.158561506953,987.0
894.3040674121901,998.0
894.4495434638955,1002.0
894.5949896055954,998.0
894.7404057808162,1006.0
894.8857919330842,1006.0
895.0311480059256,1002.0
895.1764739428668,998.0
895.321769687434,998.0
895.4670351831536,990.0
